id,grade,student_id,discipline_semester_period_id,kind,marked_on,passed_on
871304,3,11270,43899,exam,2018-01-19,2018-01-19
871305,3,11270,43898,exam,2018-01-29,2018-01-15
874724,3,11191,48622,diff_qualification,2018-06-05,2018-06-05
874744,0,11287,48623,diff_qualification,2018-06-05,2018-06-05
881780,5,11269,49632,qualification,2018-06-19,2018-06-11
881791,5,11270,49632,qualification,2018-06-11,2018-06-04
881821,0,11162,49646,qualification,2018-06-11,2018-06-11
881877,3,11269,50533,exam,2018-06-11,2018-06-11
881879,3,11270,50533,exam,2018-06-11,2018-06-09
882020,5,11162,49648,qualification,2018-06-11,2018-06-11
886185,5,11246,50164,qualification,2018-06-14,2018-06-11
886199,0,11269,49629,exam,2018-06-14,2018-06-14
886201,5,11270,49629,exam,2018-06-14,2018-06-14
886232,5,11246,50163,qualification,2018-06-14,2018-06-08
886276,5,11246,50159,qualification,2018-06-14,2018-06-09
886313,0,11285,50170,qualification,2018-06-14,2018-06-14
887953,4,11246,50160,exam,2018-06-15,2018-06-14
887973,0,11285,50171,qualification,2018-06-15,2018-06-15
887995,0,11285,50166,qualification,2018-06-15,2018-06-15
888017,0,11285,50167,exam,2018-06-15,2018-06-15
890618,0,11162,49645,exam,2018-06-19,2018-06-19
890638,0,11162,49649,exam,2018-06-19,2018-06-19
890962,3,11162,49647,exam,2018-06-19,2018-06-19
891027,2,11269,49631,exam,2018-06-19,2018-06-19
891029,3,11270,49631,exam,2018-06-19,2018-06-19
891866,4,11246,50161,exam,2018-06-20,2018-06-18
894265,5,11246,50162,exam,2018-06-25,2018-06-23
894318,0,11285,50169,exam,2018-06-25,2018-06-25
895006,3,11269,49633,exam,2018-06-25,2018-06-25
895008,3,11270,49633,exam,2018-06-25,2018-06-23
895490,4,11162,49643,exam,2018-06-26,2018-06-26
897669,4,11246,50165,exam,2018-06-29,2018-06-28
897689,0,11285,50172,exam,2018-06-29,2018-06-29
899678,0,11285,50168,exam,2018-07-02,2018-07-02
900748,0,11191,50642,exam,2018-07-03,2018-07-03
900760,0,11287,50643,exam,2018-07-03,2018-07-03
903415,0,12024,52534,kt_1,2018-10-10,
903416,5,12025,52534,kt_1,2018-10-10,
903417,5,12026,52534,kt_1,2018-10-10,
903418,4,12027,52534,kt_1,2018-10-10,
903419,4,12028,52534,kt_1,2018-10-10,
903420,5,12029,52534,kt_1,2018-10-10,
903421,3,13509,52534,kt_1,2018-10-10,
903422,5,12030,52534,kt_1,2018-10-10,
903423,4,12031,52534,kt_1,2018-10-10,
903424,5,12032,52534,kt_1,2018-10-10,
903425,5,12033,52534,kt_1,2018-10-10,
903426,4,12034,52534,kt_1,2018-10-10,
903427,5,12035,52534,kt_1,2018-10-10,
903428,5,12036,52534,kt_1,2018-10-10,
903429,0,12037,52534,kt_1,2018-10-10,
903431,5,12038,52534,kt_1,2018-10-10,
903433,4,12039,52534,kt_1,2018-10-10,
903434,5,12040,52534,kt_1,2018-10-10,
903435,5,12041,52534,kt_1,2018-10-10,
903436,5,12042,52534,kt_1,2018-10-10,
903437,5,12043,52534,kt_1,2018-10-10,
903438,5,12044,52534,kt_1,2018-10-10,
903439,4,12045,52534,kt_1,2018-10-10,
903440,0,12046,52534,kt_1,2018-10-10,
903441,4,12047,52534,kt_1,2018-10-10,
903442,5,12048,52534,kt_1,2018-10-10,
903443,4,12049,52534,kt_1,2018-10-10,
903444,5,12050,52534,kt_1,2018-10-10,
903445,0,13747,52534,kt_1,2018-10-10,
903454,2,12134,52548,kt_1,2018-10-10,
903455,3,12135,52548,kt_1,2018-10-10,
903456,5,12136,52548,kt_1,2018-10-10,
903457,3,12137,52548,kt_1,2018-10-10,
903458,4,12138,52548,kt_1,2018-10-10,
903459,0,12139,52548,kt_1,2018-10-10,
903460,4,12140,52548,kt_1,2018-10-10,
903461,5,12141,52548,kt_1,2018-10-10,
903462,5,12142,52548,kt_1,2018-10-10,
903463,5,12143,52548,kt_1,2018-10-10,
903464,5,12144,52548,kt_1,2018-10-10,
903465,5,12145,52548,kt_1,2018-10-10,
903466,5,12146,52548,kt_1,2018-10-10,
903467,5,12147,52548,kt_1,2018-10-10,
903468,3,12148,52548,kt_1,2018-10-10,
903469,4,12149,52548,kt_1,2018-10-10,
903470,5,12150,52548,kt_1,2018-10-10,
903471,5,12151,52548,kt_1,2018-10-10,
903472,4,12152,52548,kt_1,2018-10-10,
903473,4,12153,52548,kt_1,2018-10-10,
903474,0,12154,52548,kt_1,2018-10-10,
903475,5,12155,52548,kt_1,2018-10-10,
903476,5,12156,52548,kt_1,2018-10-10,
903477,5,12157,52548,kt_1,2018-10-10,
903478,2,12158,52548,kt_1,2018-10-10,
903479,5,12159,52548,kt_1,2018-10-10,
903480,4,12160,52548,kt_1,2018-10-10,
903481,5,12161,52548,kt_1,2018-10-10,
903482,5,12162,52548,kt_1,2018-10-10,
903550,5,12224,52562,kt_1,2018-10-11,
903551,4,12225,52562,kt_1,2018-10-10,
903552,5,12226,52562,kt_1,2018-10-10,
903553,5,12227,52562,kt_1,2018-10-10,
903554,3,12228,52562,kt_1,2018-10-10,
903555,5,12229,52562,kt_1,2018-10-10,
903556,5,12230,52562,kt_1,2018-10-10,
903557,4,12231,52562,kt_1,2018-10-10,
903558,5,12232,52562,kt_1,2018-10-10,
903559,2,12233,52562,kt_1,2018-10-10,
903560,4,12234,52562,kt_1,2018-10-10,
903561,5,12235,52562,kt_1,2018-10-10,
903562,5,12236,52562,kt_1,2018-10-10,
903563,5,12237,52562,kt_1,2018-10-10,
903564,5,12238,52562,kt_1,2018-10-10,
903565,5,12239,52562,kt_1,2018-10-10,
903566,5,12240,52562,kt_1,2018-10-10,
903567,5,12241,52562,kt_1,2018-10-10,
903568,3,12242,52562,kt_1,2018-10-10,
903569,5,12243,52562,kt_1,2018-10-10,
903570,5,12244,52562,kt_1,2018-10-10,
903571,5,12245,52562,kt_1,2018-10-10,
903572,5,12246,52562,kt_1,2018-10-10,
903573,0,12247,52562,kt_1,2018-10-10,
903574,5,12248,52562,kt_1,2018-10-10,
903575,4,12249,52562,kt_1,2018-10-10,
903576,4,12250,52562,kt_1,2018-10-10,
903577,5,12251,52562,kt_1,2018-10-10,
903578,4,13510,52562,kt_1,2018-10-10,
903623,5,11844,52512,kt_1,2018-10-10,
903624,5,11845,52512,kt_1,2018-10-10,
903625,5,11846,52512,kt_1,2018-10-10,
903627,5,11847,52512,kt_1,2018-10-10,
903628,5,11848,52512,kt_1,2018-10-10,
903629,5,11849,52512,kt_1,2018-10-10,
903630,5,11850,52512,kt_1,2018-10-10,
903631,5,11851,52512,kt_1,2018-10-10,
903632,5,11852,52512,kt_1,2018-10-10,
903633,5,11853,52512,kt_1,2018-10-10,
903634,5,11854,52512,kt_1,2018-10-10,
903635,0,11855,52512,kt_1,2018-10-10,
903636,3,11856,52512,kt_1,2018-10-10,
903637,3,11857,52512,kt_1,2018-10-10,
903638,2,11858,52512,kt_1,2018-10-10,
903639,5,11859,52512,kt_1,2018-10-10,
903640,0,11860,52512,kt_1,2018-10-10,
903641,5,11861,52512,kt_1,2018-10-10,
903642,4,11862,52512,kt_1,2018-10-10,
903643,5,11863,52512,kt_1,2018-10-10,
903649,5,11926,52520,kt_1,2018-10-10,
903653,5,11929,52520,kt_1,2018-10-10,
903657,5,11932,52520,kt_1,2018-10-10,
903658,3,11933,52520,kt_1,2018-10-10,
