id,group_id,discipline_id
8582,1285,3177
8583,1285,3178
8584,1285,3179
8585,1285,3215
8586,1285,3216
8587,1285,3217
8588,1285,3218
8589,1285,3219
8590,1285,3220
8591,1285,3221
8592,1285,3222
8593,1285,3223
8594,1286,3177
8595,1286,3178
8596,1286,3179
8597,1286,3215
8598,1286,3216
8599,1286,3217
8600,1286,3218
8601,1286,3219
8602,1286,3220
8603,1286,3221
8604,1286,3222
8605,1286,3223
8673,1293,3245
8674,1293,3268
8675,1293,3258
8676,1293,3269
8677,1293,3260
8678,1293,3270
8679,1293,3271
8680,1293,3272
8681,1293,3273
8682,1293,3274
8683,1293,3267
8684,1293,3275
8685,1294,3245
8686,1294,3268
8687,1294,3258
8688,1294,3269
8689,1294,3260
8690,1294,3270
8691,1294,3271
8692,1294,3272
8693,1294,3273
8694,1294,3274
8695,1294,3267
8696,1294,3275
9731,1413,3855
9732,1413,3865
9733,1413,3866
9734,1413,3875
9735,1413,3876
9736,1413,3868
9737,1413,3869
9738,1413,3877
9739,1413,3878
9740,1413,3874
9741,1413,3879
9742,1414,3855
9743,1414,3865
9744,1414,3866
9745,1414,3875
9746,1414,3876
9747,1414,3868
9748,1414,3869
9749,1414,3877
9750,1414,3878
9751,1414,3874
9752,1414,3879
11792,1616,4705
11793,1616,4706
11794,1616,4707
11795,1616,4708
11796,1616,4810
11797,1616,4709
11798,1616,4811
11799,1616,4812
11800,1616,4813
11801,1616,4814
11802,1616,4815
11803,1616,4816
11804,1617,4705
11805,1617,4706
11806,1617,4707
11807,1617,4708
11808,1617,4810
11809,1617,4709
11810,1617,4811
11811,1617,4812
11812,1617,4813
11813,1617,4814
11814,1617,4815
11815,1617,4816
12751,1716,5244
12752,1716,5245
12753,1716,5246
12754,1716,5247
12755,1716,5248
12756,1716,5249
12757,1716,5250
12758,1716,5251
12759,1716,5252
12760,1717,5244
12761,1717,5245
12762,1717,5246
12763,1717,5247
12764,1717,5248
12765,1717,5249
12766,1717,5250
12767,1717,5251
12768,1717,5252
13400,1780,5454
13401,1780,5590
13402,1780,5591
13403,1780,5592
13404,1780,5593
13405,1780,5458
13406,1780,5459
13407,1780,5594
13408,1780,5461
13409,1781,5454
13410,1781,5590
13411,1781,5591
13412,1781,5592
13413,1781,5593
13414,1781,5458
13415,1781,5459
13416,1781,5594
13417,1781,5461
31663,3650,12873
31664,3650,12872
31665,3650,12912
31666,3650,12874
31667,3650,12876
31668,3650,12875
31669,3650,12925
31670,3650,12926
31671,3650,12879
31672,3651,12873
31673,3651,12872
31674,3651,12912
31675,3651,12874
31676,3651,12876
31677,3651,12875
31678,3651,12925
31679,3651,12926
31680,3651,12879
33183,3650,13749
33184,3651,13749
34810,3890,14008
34811,3890,14009
34812,3890,14010
34813,3890,14011
34814,3890,14012
34815,3890,14108
34816,3890,14109
34817,3890,14110
34818,3890,14015
34819,3891,14008
34820,3891,14009
34821,3891,14010
34822,3891,14011
34823,3891,14012
34824,3891,14108
34825,3891,14109
34826,3891,14110
34827,3891,14015
36627,3890,14876
36628,3891,14876
38884,4320,16070
38885,4320,16034
38886,4320,16037
38887,4320,16100
38888,4320,16101
38889,4320,16041
38890,4320,16102
38891,4320,16043
38900,4322,16070
38901,4322,16034
38902,4322,16037
38903,4322,16100
38904,4322,16101
38905,4322,16041
38906,4322,16102
38907,4322,16043
39100,4344,16197
39101,4344,16198
39102,4344,16199
39103,4344,16200
39104,4344,16201
39105,4344,16202
39106,4344,16203
39107,4344,16204
39108,4344,16205
39109,4345,16197
39110,4345,16198
39111,4345,16199
39112,4345,16200
39113,4345,16201
39114,4345,16202
39115,4345,16203
39116,4345,16204
39117,4345,16205
39278,4365,16221
39279,4365,16222
39280,4365,16223
39281,4365,16307
39282,4365,16308
39283,4365,16226
39284,4365,16227
39285,4365,16228
39286,4366,16221
39287,4366,16222
39288,4366,16223
39289,4366,16307
39290,4366,16308
39291,4366,16226
39292,4366,16227
39293,4366,16228
39554,4365,16427
39564,4320,16426
39565,4366,16427
39566,4344,16428
39577,4345,16428
39588,4322,16426
41541,4578,17200
41542,4578,17201
41543,4578,17259
41544,4578,17260
41545,4578,17261
41546,4578,17262
41547,4578,17232
41548,4578,17263
41549,4578,17208
41559,4580,17200
41560,4580,17201
41561,4580,17259
41562,4580,17260
41563,4580,17261
41564,4580,17262
41565,4580,17232
41566,4580,17263
41567,4580,17208
41897,4621,17353
41898,4621,17354
41899,4621,17439
41900,4621,17440
41901,4621,17357
41902,4621,17441
41903,4621,17360
41904,4622,17353
41905,4622,17354
41906,4622,17439
41907,4622,17440
41908,4622,17357
41909,4622,17441
41910,4622,17360
41911,4623,17361
41912,4623,17362
41913,4623,17363
41914,4623,17364
41915,4623,17365
41916,4623,17442
41917,4623,17443
41918,4623,17444
41919,4623,17368
41920,4624,17361
41921,4624,17362
41922,4624,17363
41923,4624,17364
41924,4624,17365
41925,4624,17442
41926,4624,17443
41927,4624,17444
41928,4624,17368
42363,4578,17685
42365,4580,17685
42382,4621,17686
42383,4622,17686
42384,4623,17687
42385,4624,17687
45725,5001,19146
45726,5001,19147
45727,5001,19148
45728,5001,19030
45729,5001,19149
45730,5001,19150
45731,5001,19151
45732,5001,19152
45733,5002,19146
45734,5002,19147
45735,5002,19148
45736,5002,19030
45737,5002,19149
45738,5002,19150
45739,5002,19151
45740,5002,19152
45741,5003,19034
45742,5003,19035
45743,5003,19153
45744,5003,19036
45745,5003,19122
45746,5003,19037
45747,5003,19154
45748,5003,19040
45749,5004,19034
45750,5004,19035
45751,5004,19153
45752,5004,19036
45753,5004,19122
45754,5004,19037
45755,5004,19154
45756,5004,19040
45773,5007,19058
45774,5007,19059
45775,5007,19060
45776,5007,19065
45777,5007,19063
45778,5007,19088
45779,5007,19062
45780,5007,19157
46375,5067,19417
46376,5067,19418
46377,5067,19387
46378,5067,19419
46379,5067,19420
46380,5067,19421
46381,5067,19422
46382,5067,19390
46391,5069,19417
46392,5069,19418
46393,5069,19387
46394,5069,19419
46395,5069,19420
46396,5069,19421
46397,5069,19422
46398,5069,19390
46776,5067,19535
46778,5069,19535
46796,5003,19537
46797,5004,19537
46799,5007,19538
48788,5030,19262
48789,5030,19178
48790,5030,19263
48791,5030,19264
48792,5030,19182
48793,5030,19265
48794,5030,19266
48795,5031,19262
48796,5031,19178
48797,5031,19263
48798,5031,19264
48799,5031,19182
48800,5031,19265
48801,5031,19266
48802,5032,19185
48803,5032,19267
48804,5032,19268
48805,5032,19188
48806,5032,19269
48807,5032,19270
48808,5032,19271
48809,5033,19185
48810,5033,19267
48811,5033,19268
48812,5033,19188
48813,5033,19269
48814,5033,19270
48815,5033,19271
48824,5035,19193
48825,5035,19194
48826,5035,19195
48827,5035,19196
48828,5035,19198
48829,5035,19199
48830,5035,19272
48831,5035,19273
49117,5322,20319
49118,5322,20320
49119,5322,20321
49120,5322,20322
49121,5322,20323
49122,5322,20324
49123,5322,20299
49124,5322,20325
49125,5322,20326
49135,5324,20319
49136,5324,20320
49137,5324,20321
49138,5324,20322
49139,5324,20323
49140,5324,20324
49141,5324,20299
49142,5324,20325
49143,5324,20326
49743,5322,20409
49744,5032,19553
49745,5035,19554
49752,5033,19553
49757,5324,20409
51982,5600,21123
51983,5600,21124
51984,5600,21125
51985,5600,21038
51986,5600,21126
51987,5600,21127
51988,5600,21128
51989,5600,21129
51990,5601,21123
51991,5601,21124
51992,5601,21125
51993,5601,21038
51994,5601,21126
51995,5601,21127
51996,5601,21128
51997,5601,21129
52005,5603,21042
52006,5603,21043
52007,5603,26943
52008,5603,21046
52009,5603,21045
52010,5603,21130
52011,5603,21048
52027,5606,21049
52028,5606,21050
52029,5606,26944
52030,5606,21056
52031,5606,21054
52032,5606,21055
52033,5606,21053
52034,5606,21142
52043,5608,21049
52044,5608,21050
52045,5608,21051
52046,5608,21056
52047,5608,21054
52048,5608,21055
52049,5608,21053
52050,5608,21142
53693,5553,20950
53694,5553,20951
53695,5553,20952
53696,5553,20953
53697,5553,20954
53698,5553,20955
53699,5553,20956
53700,5553,20957
53709,5555,20950
53710,5555,20951
53711,5555,20952
53712,5555,20953
53713,5555,20954
53714,5555,20955
53715,5555,20956
53716,5555,20957
53802,5559,20910
53803,5559,20911
53804,5559,20912
53805,5559,20963
53806,5559,20964
53807,5559,20965
53808,5559,20966
53809,5559,20917
53810,5559,20939
53811,5560,20910
53812,5560,20911
53813,5560,20912
53814,5560,20963
53815,5560,20964
53816,5560,20965
53817,5560,20966
53818,5560,20917
53819,5560,20939
54207,5794,21873
54208,5794,21874
54209,5794,21875
54210,5794,21876
54211,5794,21877
54212,5794,21878
54213,5794,21879
54214,5795,21873
54215,5795,21874
54216,5795,21875
54217,5795,21876
54218,5795,21877
54219,5795,21878
54220,5795,21879
54335,5603,21933
54361,5606,21934
54371,5608,21934
54398,5559,21943
54399,5560,21943
55377,5922,22268
55378,5922,22269
55379,5922,22208
55380,5922,22270
55381,5922,22250
55382,5922,22271
55383,5922,22272
55384,5922,22273
55393,5924,22268
55394,5924,22269
55395,5924,22208
55396,5924,22270
55397,5924,22250
55398,5924,22271
55399,5924,22272
55400,5924,22273
55480,5930,22233
55481,5930,22234
55482,5930,22284
55483,5930,22285
55484,5930,22286
55485,5930,22260
55486,5930,22287
55487,5931,22233
55488,5931,22234
55489,5931,22284
55490,5931,22285
55491,5931,22286
55492,5931,22260
55493,5931,22287
57417,6197,22808
57418,6197,22849
57419,6197,22850
57420,6197,22812
57421,6197,22851
57422,6197,22813
57423,6197,22814
57424,6197,22816
57425,6198,21165
57426,6198,22817
57427,6198,21166
57428,6198,21170
57429,6198,21167
57430,6198,22819
57431,6198,21217
57432,6198,22852
57441,6200,21165
57442,6200,22817
57443,6200,21166
57444,6200,21170
57445,6200,21167
57446,6200,22819
57447,6200,21217
57448,6200,22852
57537,6214,21160
57538,6214,21161
57539,6214,21214
57540,6214,21215
57541,6214,21216
57542,6215,21160
57543,6215,21161
57544,6215,21214
57545,6215,21215
57546,6215,21216
57587,5930,22869
57593,5931,22869
57635,6197,22875
57636,6198,22876
57638,6200,22876
57668,6216,22843
57669,6216,22844
57670,6216,22845
57671,6216,22846
57672,6216,22847
57673,6216,22848
57674,6216,22807
57675,6217,22843
57676,6217,22844
57677,6217,22845
57678,6217,22846
57679,6217,22847
57680,6217,22848
57681,6217,22807
59824,6476,23887
59825,6476,23928
59826,6476,23890
59827,6476,23943
59828,6476,23944
59829,6476,23945
59830,6476,23946
59844,6479,23900
59845,6479,23902
59846,6479,23901
59847,6479,23952
59848,6479,23904
59849,6479,23905
59850,6479,23953
59851,6479,23954
59852,6480,23900
59853,6480,23902
59854,6480,23901
59855,6480,23952
59856,6480,23904
59857,6480,23905
59858,6480,23953
59859,6480,23954
59881,6484,23931
59882,6484,23970
59883,6484,23971
59884,6484,23972
59885,6484,23973
59886,6484,23974
59887,6484,23975
59888,6485,23931
59889,6485,23970
59890,6485,23971
59891,6485,23972
59892,6485,23973
59893,6485,23974
59894,6485,23975
59903,6487,23877
59904,6487,23982
59905,6487,23977
59906,6487,23978
59907,6487,23881
59908,6487,23979
59909,6487,23980
59910,6487,23981
59911,6488,23887
59912,6488,23888
59913,6488,23890
59914,6488,23889
59915,6488,23983
59916,6488,23945
59917,6488,23891
59925,6490,23887
59926,6490,23888
59927,6490,23890
59928,6490,23889
59929,6490,23983
59930,6490,23945
59931,6490,23891
59951,6493,23900
59952,6493,23999
59953,6493,23902
59954,6493,23904
59955,6493,23905
59956,6493,24000
59957,6493,23906
59958,6494,23900
59959,6494,23901
59960,6494,23902
