id,semester_id,course_id,name
22209,16,1058,Анализ данных
22210,16,1058,Эконометрика
22211,16,1058,Электронный бизнес
22212,16,1058,Деловые коммуникации
22213,16,1058,Качество программных систем
22214,16,1058,Теория игр
22215,16,1058,Учебно-исследовательская работа в семестре 2 ***
22216,16,1058,IT-маркетинг/ IT бизнес и инновации
22217,16,1058,Организация бизнеса на рынках программных продуктов***/ Оценка стоимости программного обеспечения ***
22218,16,1058,Планирование и организация разработки инновационной продукции (ГПО 3 ***)
22219,16,1058,Бухгалтерские информационные системы
22220,16,1058,Элективные дисциплины по физической культуре и спорту
22229,16,1056,Теория систем и системный анализ
22230,16,1056,Научный семинар
22231,16,1056,Профессиональный английский язык/ Профессиональный немецкий язык
22232,16,1056,Математическое моделирование/ Рынки ИКТ
22233,16,1056,Иностранный язык
22234,16,1056,Физическая культура и спорт
22235,16,1056,Экономическая теория (микро- и макроэкономика)
22236,16,1056,Введение в специальность
22237,16,1056,Информатика и программирование
22238,16,1056,Математический анализ
22239,16,1056,Основы гипертекстого представления интернет-контента
22240,16,1056,Информационные технологии обработки данных
22245,16,1058,Экономика
22246,16,1058,Методы и технологии программирования
22247,16,1058,Организация баз данных
22248,16,1058,Функциональное и логическое программирование
22249,16,1058,Управление IT- сервисами и контентом
22250,16,1058,Элективные дисциплины по физической культуре и спорту
22251,16,1058,"Методы контроля оценки качества ПО / Надежность, эргономика и качество АСОИУ"
22252,16,1058,Учебно-исследовательская работа студентов 1 ***
22253,16,1058,Планирование и организация разработки инновационной продукции (ГПО 3) ***
22259,16,1056,Операционные системы и сети
22260,16,1056,Математическая логика и теория алгоритмов
22261,16,1056,Верификация программного обеспечения
22262,16,1056,Высокопроизводительные распределенные системы
22263,16,1056,Нейронные сети и их применение/Системы реального времени
22268,16,1058,Безопасность жизнедеятельности
22269,16,1058,Базы данных
22270,16,1058,Операционные системы
22271,16,1058,Исследование операций / Идентификация сложных систем
22272,16,1058,Учебно-исследовательская работа 3 ***
22273,16,1058,Распределённые вычислительные системы (ГПО 3) ***
22284,16,1056,Математика
22285,16,1056,Основы информационных технологий
22286,16,1056,Программирование
22287,16,1056,ЭВМ и периферийные устройства
22288,16,1056,Интеллектуальные системы
22289,16,1056,Профессиональный иностранный язык
22290,16,1056,Методы планирования эксперимента
22291,16,1056,Современные операционные системы
22292,16,1056,Технология разработки программного обеспечения
22293,16,1056,Научно-исследовательская работа магистра
22294,16,1056,Прикладная математическая статистика
22295,16,1056,Правовые основы рынка программного обеспечения
22301,16,1058,Математическое и имитационное моделирование экономических процессов
22302,16,1058,Учебно-исследовательская работа 3 (УИР 3) ***
22303,16,1058,Проектирование систем принятия решений в экономике 1 (ГПО 3) ***
22311,16,1056,Экономическая теория
22312,16,1056,Дискретная математика
22313,16,1056,Основы алгоритмизации и программирования
22319,16,1058,Бухгалтерский и управленческий учет
22320,16,1058,Управление персоналом
22321,16,1058,Базы данных/ Корпоративные информационные системы
22322,16,1058,Государственные и муниципальные финансы/ Бюджетная система и бюджетный процесс
22323,16,1058,Учебно-исследовательская работа студентов **
22324,16,1058,Планирование и организация разработки инновационной продукции (ГПО 1) **
22330,16,1056,Физическая культура и спорт
22331,16,1056,Конституционное право
22332,16,1056,Основы государственного и муниципального управления
22333,16,1056,Политология
22334,16,1056,Основы высшей математики
22335,16,1056,Экономика общественного сектора
22336,16,1056,Консалтинг и управление проектами в государственном и муниципальном управлении
22337,16,1056,Государственное прогнозирование и управление государственными программами
22338,16,1056,"Документационное обеспечение управленческой деятельности: методы, технологии и информационные системы/ Электронные административные регламенты"
22339,16,1056,Информационные технологии статистического анализа данных/ Моделирование социально-экономических систем и процессов
22340,16,1056,Информационные технологии в государственном и муниципальном управлении/ Экономика IT-отрасли
22344,16,1056,Современные проблемы прикладной математики и информатики
22345,16,1056,Непрерывные математические модели
22346,16,1056,Иностраный язык
22347,16,1056,Объектно-ориентированные языки и системы программирования
22348,16,1056,Методы и алгоритмы параллельного программирования
22349,16,1056,Междисциплинарный семинар
22350,16,1056,Научно-исследовательская работа в семестре
22800,16,1064,Прикладные методы искусственного интеллекта
22801,16,1064,Идентификация и диагностика систем
22802,16,1064,Микропроцессорные устройства
22803,16,1064,Спецкурс***
22804,16,1064,Прикладные методы системного анализа (групповое проектное обучение ГПО 3)
22805,16,1064,Социология
22806,16,1064,Теория автоматического управления
22807,16,1064,Элективные дисциплины по физической культуре и спорту
22808,16,1063,Философия
22809,16,1063,Защита и передача интеллектуальной собственности / Патентоведение
22810,16,1063,Объектно-ориентированное программирование*
22811,16,1063,Управление проектами (групповое проектное обучение - ГПО-1)
22812,16,1063,Культурология
22813,16,1063,Математическая логика и теория алгоритмов
22814,16,1063,Теория вероятностей и математическая статистика
22815,16,1063,"Электротехника, электроника и схемотехника"
22816,16,1063,Элективные дисциплины по физической культуре и спорту
22817,16,1062,Профессиональный английский язык
22818,16,1062,Введение в специальность
22819,16,1062,Русский язык и культура речи
22820,16,1064,Теория и технология программирования
22821,16,1064,Управление в организационных системах
22822,16,1064,Основы проектирования систем и средств управления / Надежность информационных систем
