id,academic_year_id,number,parity,starts_at,completes_at
436,9,19,odd,2018-12-31,2019-01-05
437,9,20,even,2019-01-07,2019-01-12
438,9,21,odd,2019-01-14,2019-01-19
439,9,22,even,2019-01-21,2019-01-26
440,9,23,odd,2019-01-28,2019-02-02
441,9,24,even,2019-02-04,2019-02-09
442,9,25,odd,2019-02-11,2019-02-16
443,9,26,even,2019-02-18,2019-02-23
444,9,27,odd,2019-02-25,2019-03-02
445,9,28,even,2019-03-04,2019-03-09
446,9,29,odd,2019-03-11,2019-03-16
447,9,30,even,2019-03-18,2019-03-23
448,9,31,odd,2019-03-25,2019-03-30
449,9,32,even,2019-04-01,2019-04-06
450,9,33,odd,2019-04-08,2019-04-13
451,9,34,even,2019-04-15,2019-04-20
452,9,35,odd,2019-04-22,2019-04-27
453,9,36,even,2019-04-29,2019-05-04
454,9,37,odd,2019-05-06,2019-05-11
455,9,38,even,2019-05-13,2019-05-18
456,9,39,odd,2019-05-20,2019-05-25
457,9,40,even,2019-05-27,2019-06-01
458,9,41,odd,2019-06-03,2019-06-08
459,9,42,even,2019-06-10,2019-06-15
460,9,43,odd,2019-06-17,2019-06-22
461,9,44,even,2019-06-24,2019-06-29
462,9,45,odd,2019-07-01,2019-07-06
463,9,46,even,2019-07-08,2019-07-13
464,9,47,odd,2019-07-15,2019-07-20
465,9,48,even,2019-07-22,2019-07-27
466,9,49,odd,2019-07-29,2019-08-03
467,9,50,even,2019-08-05,2019-08-10
468,9,51,odd,2019-08-12,2019-08-17
469,9,52,even,2019-08-19,2019-08-24
470,10,1,odd,2019-09-02,2019-09-07
471,10,2,even,2019-09-09,2019-09-14
472,10,3,odd,2019-09-16,2019-09-21
473,10,4,even,2019-09-23,2019-09-28
474,10,5,odd,2019-09-30,2019-10-05
475,10,6,even,2019-10-07,2019-10-12
476,10,7,odd,2019-10-14,2019-10-19
477,10,8,even,2019-10-21,2019-10-26
478,10,9,odd,2019-10-28,2019-11-02
479,10,10,even,2019-11-04,2019-11-09
480,10,11,odd,2019-11-11,2019-11-16
481,10,12,even,2019-11-18,2019-11-23
482,10,13,odd,2019-11-25,2019-11-30
483,10,14,even,2019-12-02,2019-12-07
